epoch,con_loss,adv_loss,dic_loss
30,0.3237,,
30,0.3389,,
30,0.2694,,
30,0.2178,,
30,0.1879,,
30,0.1951,,
30,0.2762,,
30,0.2345,,
30,0.3079,,
30,0.1996,,
30,0.1644,,
30,0.2569,,
30,0.2007,,
30,0.1393,,
30,0.1789,,
30,0.229,,
30,0.2757,,
30,0.189,,
30,0.183,,
30,0.1486,,
30,0.3042,,
30,0.1896,,
30,0.18,,
30,0.228,,
30,0.1602,,
30,0.1676,,
30,0.2177,,
30,0.1455,,
30,0.2685,,
30,0.2525,,
30,0.1373,,
30,0.2627,,
30,0.2797,,
30,0.131,,
30,0.2062,,
30,0.1962,,
30,0.2477,,
30,0.2202,,
30,0.209,,
30,0.2553,,
30,0.1599,,
31,0.1883,,
31,0.1496,,
31,0.1421,,
31,0.3099,,
31,0.1849,,
31,0.2318,,
